,x,y,z,n,r,p,r,n+p
304,69.929,6.25,42.5,0.015929,0.0945591,0.148947,0.112215,0.164876
304,69.929,6.25,47.5,0.0125429,0.0729558,0.127551,0.100908,0.1400939
304,69.929,10.417,-47.5,0.0105991,0.0819111,0.139928,0.118792,0.1505271
304,69.929,10.417,-42.5,0.0106797,0.0793594,0.134334,0.118249,0.1450137
304,69.929,10.417,-37.5,0.0121467,0.0873815,0.122806,0.107946,0.1349527
304,69.929,10.417,-32.5,0.0129747,0.0833965,0.154231,0.109058,0.1672057
304,69.929,10.417,-27.5,0.0135644,0.101922,0.134581,0.108756,0.1481454
304,69.929,10.417,-22.5,0.0127034,0.0826387,0.153367,0.106288,0.1660704
304,69.929,10.417,-17.5,0.0145575,0.0932255,0.160187,0.105969,0.1747445
304,69.929,10.417,-12.5,0.0172442,0.105512,0.157207,0.1011,0.1744512
304,69.929,10.417,-7.5,0.0182805,0.106689,0.183646,0.0997305,0.2019265
304,69.929,10.417,-2.5,0.0175311,0.0976486,0.169315,0.0972145,0.1868461
304,69.929,10.417,2.5,0.01497,0.0862187,0.160222,0.11031,0.175192
304,69.929,10.417,7.5,0.0174417,0.0942431,0.14246,0.103854,0.1599017
304,69.929,10.417,12.5,0.0174356,0.101424,0.160339,0.102821,0.1777746
304,69.929,10.417,17.5,0.0155827,0.0999294,0.145345,0.0984278,0.1609277
304,69.929,10.417,22.5,0.015069,0.0946647,0.173726,0.102823,0.188795
304,69.929,10.417,27.5,0.0162359,0.104144,0.180866,0.104183,0.1971019
304,69.929,10.417,32.5,0.0144068,0.100252,0.131848,0.107503,0.1462548
304,69.929,10.417,37.5,0.0138928,0.109303,0.166056,0.109136,0.1799488
304,69.929,10.417,42.5,0.0151441,0.10035,0.161567,0.106979,0.1767111
304,69.929,10.417,47.5,0.0140574,0.10221,0.139023,0.114655,0.1530804
304,75.214,2.083,-47.5,0.0203451,0.0958325,0.190968,0.0970708,0.2113131
304,75.214,2.083,-42.5,0.0171038,0.0828733,0.147838,0.0950225,0.1649418
304,75.214,2.083,-37.5,0.0205783,0.0924829,0.142205,0.105466,0.1627833
304,75.214,2.083,-32.5,0.0242262,0.0905976,0.186558,0.0964525,0.2107842
304,75.214,2.083,-27.5,0.0243576,0.0899911,0.197817,0.0909509,0.2221746
304,75.214,2.083,-22.5,0.0243393,0.089785,0.179668,0.0935146,0.2040073
304,75.214,2.083,-17.5,0.0230855,0.0841173,0.224582,0.0895891,0.2476675
304,75.214,2.083,-12.5,0.0253622,0.0801743,0.226104,0.083984,0.2514662
304,75.214,2.083,-7.5,0.0259401,0.0877626,0.221132,0.0876781,0.2470721
304,75.214,2.083,-2.5,0.0289157,0.0887771,0.204275,0.0912845,0.2331907
304,75.214,2.083,2.5,0.0286998,0.0784756,0.216887,0.0905008,0.2455868
304,75.214,2.083,7.5,0.0262726,0.0802039,0.219788,0.0871486,0.2460606
304,75.214,2.083,12.5,0.0283893,0.0729723,0.237765,0.0821141,0.2661543
304,75.214,2.083,17.5,0.0269539,0.0829016,0.264332,0.0816852,0.2912859
304,75.214,2.083,22.5,0.0245306,0.0817799,0.195309,0.0871152,0.2198396
304,75.214,2.083,27.5,0.0230348,0.0877081,0.198923,0.0831921,0.2219578
304,75.214,2.083,32.5,0.0207005,0.0808333,0.194444,0.0961431,0.2151445
304,75.214,2.083,37.5,0.0231994,0.0937998,0.189852,0.0927201,0.2130514
304,75.214,2.083,42.5,0.0258018,0.0893976,0.201717,0.0914553,0.2275188
304,75.214,2.083,47.5,0.0203318,0.0804923,0.190886,0.0925011,0.2112178
304,75.214,6.25,-47.5,0.019881,0.0779432,0.173415,0.0975583,0.193296
304,75.214,6.25,-42.5,0.0187304,0.0896064,0.161884,0.0851628,0.1806144
304,75.214,6.25,-37.5,0.0246723,0.0821736,0.198393,0.0905002,0.2230653
304,75.214,6.25,-32.5,0.0211061,0.0720226,0.220236,0.0923659,0.2413421
304,75.214,6.25,-27.5,0.0248549,0.0810835,0.210509,0.08195,0.2353639
304,75.214,6.25,-22.5,0.0231519,0.0669389,0.201794,0.080266,0.2249459
304,75.214,6.25,-17.5,0.0290356,0.0775789,0.24774,0.079194,0.2767756
304,75.214,6.25,-12.5,0.0261368,0.0777213,0.249623,0.0786628,0.2757598
304,75.214,6.25,-7.5,0.0279041,0.0758017,0.207549,0.0766556,0.2354531
304,75.214,6.25,-2.5,0.0298141,0.0716799,0.223581,0.0764314,0.2533951
304,75.214,6.25,2.5,0.0313386,0.0734993,0.249401,0.0715194,0.2807396
304,75.214,6.25,7.5,0.0283053,0.0729988,0.237241,0.0756206,0.2655463
304,75.214,6.25,12.5,0.0311897,0.0753534,0.217393,0.0764513,0.2485827
304,75.214,6.25,17.5,0.02618,0.073051,0.249236,0.074367,0.275416
304,75.214,6.25,22.5,0.0235096,0.0753892,0.207218,0.0820249,0.2307276
304,75.214,6.25,27.5,0.0251009,0.0744568,0.228507,0.0737169,0.2536079
304,75.214,6.25,32.5,0.0231055,0.0823704,0.232775,0.0871122,0.2558805
304,75.214,6.25,37.5,0.0209028,0.0769925,0.202348,0.0871392,0.2232508
304,75.214,6.25,42.5,0.0231942,0.0819457,0.20191,0.0917009,0.2251042
304,75.214,6.25,47.5,0.0203461,0.0762499,0.185946,0.0904099,0.2062921
304,75.214,10.417,-47.5,0.0253706,0.080224,0.198374,0.0888609,0.2237446
304,75.214,10.417,-42.5,0.0200304,0.0663849,0.194406,0.0930655,0.2144364
304,75.214,10.417,-37.5,0.0225576,0.0777152,0.204981,0.0871278,0.2275386
304,75.214,10.417,-32.5,0.0252867,0.07715,0.193947,0.0867713,0.2192337
304,75.214,10.417,-27.5,0.026614,0.0795453,0.194191,0.0916222,0.220805
304,75.214,10.417,-22.5,0.0269133,0.07822,0.265235,0.0897272,0.2921483
304,75.214,10.417,-17.5,0.0292258,0.0828537,0.246087,0.0838022,0.2753128
304,75.214,10.417,-12.5,0.0315149,0.0860379,0.243098,0.0833562,0.2746129
304,75.214,10.417,-7.5,0.035705,0.0808386,0.204598,0.090907,0.240303
304,75.214,10.417,-2.5,0.0350596,0.0793408,0.258152,0.0875273,0.2932116
304,75.214,10.417,2.5,0.0305436,0.0697538,0.24036,0.07952,0.2709036
304,75.214,10.417,7.5,0.0313989,0.0742434,0.245184,0.0845483,0.2765829
304,75.214,10.417,12.5,0.0289047,0.0810511,0.195805,0.0836357,0.2247097
304,75.214,10.417,17.5,0.0300602,0.0791972,0.220463,0.0826105,0.2505232
304,75.214,10.417,22.5,0.0284373,0.0831246,0.215285,0.0816821,0.2437223
304,75.214,10.417,27.5,0.0306967,0.0818535,0.208564,0.0862362,0.2392607
304,75.214,10.417,32.5,0.0273047,0.0808136,0.218783,0.0859289,0.2460877
304,75.214,10.417,37.5,0.0267789,0.0813133,0.199172,0.0843439,0.2259509
304,75.214,10.417,42.5,0.0259669,0.0831142,0.205358,0.0880358,0.2313249
304,75.214,10.417,47.5,0.023722,0.073735,0.236454,0.0878658,0.260176
304,80.5,2.083,-47.5,0.0389283,0.0780401,0.27034,0.0879896,0.3092683
304,80.5,2.083,-42.5,0.0343386,0.0694272,0.275577,0.0792008,0.3099156
